"customer_key","customer_number","customer_name","age_group","cust_segmentation","last_order_date","recency","total_orders","total_sales","total_quantity","total_products","time_spam","avg_order_value","avg_monthly_value"
1,"AW00011000","Jon Yang","50-59","VIP","2013-05-03",144,3,8249.0,8.0,8,27,2749.67,305.52
2,"AW00011001","Eugene Huang","40-49","VIP","2013-12-10",136,3,6384.0,11.0,10,34,2128.0,187.76
3,"AW00011002","Ruben Torres","50-59","VIP","2013-02-23",146,3,8114.0,4.0,4,25,2704.67,324.56
4,"AW00011003","Christy Zhu","50-59","VIP","2013-05-10",143,3,8139.0,9.0,9,28,2713.0,290.68
5,"AW00011004","Elizabeth Johnson","40-49","VIP","2013-05-01",144,3,8196.0,6.0,6,27,2732.0,303.56
6,"AW00011005","Julio Ruiz","40-49","VIP","2013-05-02",144,3,8121.0,6.0,6,28,2707.0,290.04
7,"AW00011006","Janet Alvarez","40-49","VIP","2013-05-14",143,3,8119.0,5.0,5,27,2706.33,300.7
8,"AW00011007","Marco Mehta","50-59","VIP","2013-03-19",145,3,8211.0,8.0,8,26,2737.0,315.81
9,"AW00011008","Rob Verhoff","40-49","VIP","2013-03-02",146,3,8106.0,7.0,7,25,2702.0,324.24
10,"AW00011009","Shannon Carlson","50-59","VIP","2013-05-09",143,3,8091.0,5.0,5,27,2697.0,299.67
11,"AW00011010","Jacquelyn Suarez","50-59","VIP","2013-05-23",143,3,8088.0,4.0,4,28,2696.0,288.86
12,"AW00011011","Curtis Lu","50-59","VIP","2013-03-19",145,3,8133.0,4.0,4,26,2711.0,312.81
13,"AW00011012","Lauren Walker","40-49","New","2013-10-15",138,2,81.0,5.0,5,6,40.5,13.5
14,"AW00011013","Ian Jenkins","40-49","New","2014-01-21",135,2,114.0,5.0,5,9,57.0,12.67
15,"AW00011014","Sydney Bennett","50-59","New","2013-04-30",144,2,138.0,6.0,5,1,69.0,138.0
16,"AW00011015","Chloe Young","40-49","New","2013-01-18",147,1,2501.0,3.0,3,0,2501.0,2501.0
17,"AW00011016","Wyatt Hill","40-49","New","2013-02-09",146,1,2332.0,3.0,3,0,2332.0,2332.0
18,"AW00011017","Shannon Wang","60 & Above","VIP","2013-10-14",138,3,6434.0,4.0,4,33,2144.67,194.97
19,"AW00011018","Clarence Rai","60 & Above","VIP","2013-10-24",138,3,6533.0,7.0,7,33,2177.67,197.97
20,"AW00011019","Luke Lal","40-49","New","2014-01-12",135,17,880.0,33.0,20,11,51.76,80.0
21,"AW00011020","Jordan King","40-49","New","2012-12-29",148,1,2317.0,2.0,2,0,2317.0,2317.0
22,"AW00011021","Destiny Wilson","40-49","New","2013-01-23",147,1,2372.0,3.0,3,0,2372.0,2372.0
23,"AW00011022","Ethan Zhang","40-49","New","2013-01-20",147,1,2322.0,2.0,2,0,2322.0,2322.0
24,"AW00011023","Seth Edwards","40-49","New","2014-01-14",135,2,122.0,6.0,6,10,61.0,12.2
25,"AW00011024","Russell Xie","40-49","New","2013-07-26",141,2,56.0,6.0,5,0,28.0,56.0
26,"AW00011025","Alejandro Beck","60 & Above","VIP","2013-10-25",138,3,6577.0,6.0,6,33,2192.33,199.3
27,"AW00011026","Harold Sai","60 & Above","VIP","2013-10-15",138,3,6575.0,7.0,7,32,2191.67,205.47
28,"AW00011027","Jessie Zhao","60 & Above","VIP","2013-10-24",138,3,6591.0,9.0,9,33,2197.0,199.73
29,"AW00011028","Jill Jimenez","60 & Above","VIP","2013-10-07",138,3,6474.0,5.0,5,32,2158.0,202.31
30,"AW00011029","Jimmy Moreno","60 & Above","VIP","2013-11-11",137,3,6565.0,7.0,7,33,2188.33,198.94
31,"AW00011030","Bethany Yuan","60 & Above","VIP","2013-11-09",137,3,6471.0,4.0,4,33,2157.0,196.09
32,"AW00011031","Theresa Ramos","60 & Above","VIP","2013-11-13",137,3,6478.0,6.0,6,33,2159.33,196.3
33,"AW00011032","Denise Stone","60 & Above","VIP","2013-11-08",137,3,6525.0,10.0,10,32,2175.0,203.91
34,"AW00011033","Jaime Nath","60 & Above","VIP","2013-11-05",137,3,6495.0,7.0,7,32,2165.0,202.97
35,"AW00011034","Ebony Gonzalez","60 & Above","VIP","2013-11-10",137,3,6491.0,4.0,4,33,2163.67,196.7
36,"AW00011035","Wendy Dominguez","60 & Above","VIP","2013-11-15",137,3,6451.0,5.0,5,33,2150.33,195.48
37,"AW00011036","Jennifer Russell","40-49","New","2013-01-22",147,1,2355.0,2.0,2,0,2355.0,2355.0
38,"AW00011037","Chloe Garcia","40-49","New","2013-01-20",147,1,2374.0,7.0,7,0,2374.0,2374.0
39,"AW00011038","Diana Hernandez","60 & Above","VIP","2013-11-12",137,3,6437.0,3.0,3,33,2145.67,195.06
40,"AW00011039","Marc Martin","60 & Above","VIP","2013-11-11",137,3,6636.0,9.0,8,33,2212.0,201.09
41,"AW00011040","Jesse Murphy","40-49","New","2013-04-03",145,1,2351.0,3.0,3,0,2351.0,2351.0
42,"AW00011041","Amanda Carter","40-49","New","2013-01-14",147,1,2381.0,3.0,3,0,2381.0,2381.0
43,"AW00011042","Megan Sanchez","40-49","New","2013-10-17",138,2,3112.0,3.0,3,8,1556.0,389.0
44,"AW00011043","Nathan Simmons","40-49","New","2013-08-18",140,2,48.0,3.0,3,3,24.0,16.0
45,"AW00011044","Adam Flores","60 & Above","VIP","2013-11-08",137,3,6515.0,7.0,7,32,2171.67,203.59
46,"AW00011045","Leonard Nara","60 & Above","New","2013-10-29",138,2,115.0,4.0,4,6,57.5,19.17
47,"AW00011046","Christine Yuan","60 & Above","VIP","2013-11-12",137,3,6616.0,6.0,6,33,2205.33,200.48
48,"AW00011047","Jaclyn Lu","60 & Above","VIP","2013-11-19",137,3,6582.0,4.0,4,33,2194.0,199.45
49,"AW00011048","Jeremy Powell","60 & Above","VIP","2013-12-25",136,3,6498.0,8.0,8,34,2166.0,191.12
50,"AW00011049","Carol Rai","30-39","New","2013-10-29",138,2,81.0,5.0,5,7,40.5,11.57
51,"AW00011050","Alan Zheng","60 & Above","VIP","2013-11-19",137,3,5007.0,6.0,6,32,1669.0,156.47
52,"AW00011051","Daniel Johnson","60 & Above","New","2014-01-01",136,2,124.0,5.0,5,0,62.0,124.0
53,"AW00011052","Heidi Lopez","60 & Above","VIP","2013-05-27",143,3,8131.0,7.0,7,27,2710.33,301.15
54,"AW00011053","Ana Price","30-39","New","2013-01-17",147,1,2330.0,2.0,2,0,2330.0,2330.0
55,"AW00011054","Deanna Munoz","60 & Above","VIP","2013-05-30",143,3,8223.0,6.0,6,27,2741.0,304.56
56,"AW00011055","Gilbert Raje","60 & Above","VIP","2013-06-07",142,3,8168.0,8.0,8,28,2722.67,291.71
57,"AW00011056","Michele Nath","60 & Above","VIP","2013-05-31",143,3,8207.0,8.0,8,27,2735.67,303.96
58,"AW00011057","Carl Andersen","50-59","VIP","2013-05-21",143,3,8088.0,4.0,4,26,2696.0,311.08
59,"AW00011058","Marc Diaz","60 & Above","VIP","2013-06-04",142,3,8248.0,6.0,6,26,2749.33,317.23
60,"AW00011059","Ashlee Andersen","60 & Above","New","2013-03-16",145,3,117.0,7.0,6,0,39.0,117.0
61,"AW00011060","Jon Zhou","60 & Above","VIP","2013-06-25",142,3,8153.0,6.0,6,27,2717.67,301.96
62,"AW00011061","Todd Gao","40-49","VIP","2013-06-14",142,3,8129.0,6.0,6,27,2709.67,301.07
63,"AW00011062","Noah Powell","40-49","New","2013-01-07",147,1,2352.0,3.0,3,0,2352.0,2352.0
64,"AW00011063","Angela Murphy","40-49","New","2013-01-12",147,1,2373.0,5.0,5,0,2373.0,2373.0
65,"AW00011064","Chase Reed","40-49","New","2013-01-25",147,1,2305.0,2.0,2,0,2305.0,2305.0
66,"AW00011065","Jessica Henderson","40-49","New","2014-01-10",135,2,202.0,5.0,4,11,101.0,18.36
67,"AW00011066","Grace Butler","40-49","New","2013-09-19",139,2,81.0,5.0,5,3,40.5,27.0
68,"AW00011067","Caleb Carter","40-49","New","2014-01-12",135,2,105.0,6.0,6,4,52.5,26.25
69,"AW00011068","Tiffany Liang","50-59","New","2013-10-08",138,3,113.0,9.0,8,5,37.67,22.6
70,"AW00011069","Carolyn Navarro","50-59","VIP","2013-06-04",142,3,8104.0,3.0,3,25,2701.33,324.16
71,"AW00011070","Willie Raji","60 & Above","VIP","2013-06-26",142,3,8165.0,10.0,9,25,2721.67,326.6
72,"AW00011071","Linda Serrano","60 & Above","New","2013-12-01",137,3,110.0,7.0,6,9,36.67,12.22
73,"AW00011072","Casey Luo","60 & Above","VIP","2013-06-15",142,3,8194.0,7.0,7,26,2731.33,315.15
74,"AW00011073","Amy Ye","60 & Above","New","2013-08-21",140,3,192.0,10.0,9,4,64.0,48.0
75,"AW00011074","Levi Arun","60 & Above","New","2013-05-27",143,3,94.0,7.0,7,2,31.33,47.0
76,"AW00011075","Felicia Jimenez","60 & Above","VIP","2013-06-24",142,3,8068.0,5.0,5,25,2689.33,322.72
77,"AW00011076","Blake Anderson","60 & Above","VIP","2013-06-21",142,3,8159.0,4.0,4,26,2719.67,313.81
78,"AW00011077","Leah Ye","60 & Above","VIP","2013-06-12",142,3,8169.0,5.0,5,25,2723.0,326.76
79,"AW00011078","Gina Martin","40-49","New","2014-01-28",135,17,912.0,31.0,23,11,53.65,82.91
80,"AW00011079","Donald Gonzalez","50-59","New","2014-01-01",136,3,58.0,5.0,5,9,19.33,6.44
81,"AW00011080","Damien Chander","60 & Above","VIP","2013-06-23",142,3,8204.0,7.0,7,26,2734.67,315.54
82,"AW00011081","Savannah Baker","50-59","New","2013-04-13",144,2,104.0,5.0,5,2,52.0,52.0
83,"AW00011082","Angela Butler","50-59","New","2013-11-06",137,2,3110.0,6.0,6,9,1555.0,345.56
84,"AW00011083","Alyssa Cox","40-49","New","2013-11-08",137,2,3137.0,5.0,5,10,1568.5,313.7
85,"AW00011084","Lucas Phillips","60 & Above","New","2013-11-21",137,2,3078.0,5.0,5,10,1539.0,307.8
86,"AW00011085","Emily Johnson","60 & Above","New","2014-01-08",135,2,129.0,5.0,5,1,64.5,129.0
87,"AW00011086","Ryan Brown","60 & Above","New","2013-12-21",136,2,153.0,6.0,6,5,76.5,30.6
88,"AW00011087","Tamara Liang","60 & Above","New","2013-08-09",140,2,200.0,4.0,4,5,100.0,40.0
89,"AW00011088","Hunter Davis","60 & Above","New","2013-11-12",137,2,3176.0,7.0,7,9,1588.0,352.89
90,"AW00011089","Abigail Price","60 & Above","New","2013-11-18",137,2,3188.0,7.0,7,10,1594.0,318.8
91,"AW00011090","Trevor Bryant","50-59","VIP","2013-11-21",137,3,6703.0,6.0,6,27,2234.33,248.26
92,"AW00011091","Dalton Perez","60 & Above","New","2014-01-08",135,28,1186.0,59.0,25,11,42.36,107.82
93,"AW00011092","Cheryl Diaz","50-59","VIP","2013-06-21",142,3,8110.0,5.0,5,26,2703.33,311.92
94,"AW00011093","Aimee He","40-49","VIP","2013-06-08",142,3,8180.0,7.0,7,26,2726.67,314.62
95,"AW00011094","Cedric Ma","50-59","New","2014-01-11",135,3,236.0,8.0,8,9,78.67,26.22
96,"AW00011095","Chad Kumar","50-59","VIP","2013-06-25",142,3,8158.0,7.0,7,26,2719.33,313.77
